Date,Startup,Industry,Location,Investors,Investment_Type, Amount_USD 
11-07-16,Overcart.com,eCommerce,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"30,00,000"
12-07-16,SirionLabs,Technology,Gurgaon,Sequoia Capital,Private Equity,"1,22,50,000"
13-07-16,YAAP,Consumer Internet,New Delhi,Rainmaker Ventures,Private Equity,"50,00,000"
13-07-16,Twigly,Consumer Internet,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"6,00,000"
13-07-16,ShareChat,Consumer Internet,Bangalore,"SAIF Partners, India Quotient",Private Equity,"13,50,000"
13-07-16,RentMojo,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,"50,00,000"
14-07-16,Augrav,eCommerce,Coimbatore,Keiretsu Forum,Seed Funding,"4,50,000"
14-07-16,ShoppinPal,Technology,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,"10,70,000"
15-07-16,WorkApps,Technology,Pune,SRI Capital,Seed Funding,"10,00,000"
15-07-16,BankerBay,Consumer Internet,Bangalore,undisclosed investors,Private Equity,"20,00,000"
15-07-16,TripShelf,eCommerce,New Delhi,GEMS group,Seed Funding,"2,50,000"
15-07-16,Ridlr,Consumer Internet,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,"60,00,000"
18-07-16,Yellowdig,Consumer Internet,Pune,SRI Capital,Seed Funding,"6,50,000"
18-07-16,Zuppler,Consumer Internet,New Delhi,SRI Capital,Seed Funding,"6,50,000"
18-07-16,BlueStone,eCommerce,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,"3,00,00,000"
19-07-16,Sagacito,Technology,New Delhi,Star India Pvt. Ltd,Private Equity,"1,00,00,000"
19-07-16,Deal4Loans / Wishfin,Consumer Internet,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,"1,50,00,000"
19-07-16,NiYO Solutions,Technology,Bangalore,Prime Venture Partners,Private Equity,"10,00,000"
19-07-16,AppLop,Consumer Internet,Gurgaon,Green House Ventures Accelerator,Seed Funding,"2,50,000"
20-07-16,Tax2Win,Consumer Internet,Jaipur,Undisclosed Investors,Private Equity,"10,00,000"
20-07-16,Truckola,Logistics,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"5,95,000"
21-07-16,MyTaxiIndia,Consumer Internet,New Delhi,Nihon Kotsu Co,Private Equity,"10,00,000"
21-07-16,Wiwigo,Consumer Internet,Bangalore,Indian Angel Network,Seed Funding,"5,95,000"
01-08-16,HealthKart,eCommerce,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"1,20,00,000"
01-08-16,Medinfi,Consumer Internet,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"2,00,000"
01-08-16,RepairEasy,Consumer Internet,Pune,Undisclosed HNIs,Seed Funding,"2,75,000"
01-08-16,Voonik,eCommerce,Bangalore,InnoVen Capital,Private Equity,"30,00,000"
01-08-16,Tokri,Consumer Internet,Pune,Syska LED group,Private Equity,"25,00,000"
02-08-16,Sheroes,Consumer Internet,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"18,00,000"
02-08-16,Yumlane,Food & Beverage,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"10,00,000"
03-08-16,ExtraCarbon,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,"2,25,000"
03-08-16,FlickBay,Consumer Internet,Mumbai,Paul Roy,Seed Funding,"8,90,000"
04-08-16,Petoo,Consumer Internet,Bangalore,Existing Investors,Seed Funding,"5,00,000"
06-08-16,VST Travels,Technology,Kerala,Promatus Group,Seed Funding,27000
08-08-16,Wefly Indoor Skydiving,Others,Mumbai,Swastika Company Ltd.,Seed Funding,40000
08-08-16,Mojarto,eCommerce,Gurgaon,Undisclosed Investors,Seed Funding,"4,45,000"
08-08-16,Zipgrid,Consumer Internet,Mumbai,1Crowd (through crowd funding),Seed Funding,"2,00,000"
10-08-16,Vebbler,Consumer Internet,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"5,00,000"
10-08-16,Bombay Shaving Company,eCommerce,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"6,00,000"
11-08-16,Travelyaari,Consumer Internet,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"70,00,000"
11-08-16,Genextstudents,Consumer Internet,Mumbai,1Crowd (through crowdfunding),Seed Funding,"2,09,000"
11-08-16,Zenoti,Technology,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"1,50,00,000"
12-08-16,Crofarm,Technology,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"15,00,000"
12-08-16,Faircent.com,Consumer Internet,Gurgaon,Brand Capital,Private Equity,"15,00,000"
12-08-16,Innovaccer,Technology,Noida,Westbridge Capital Partners,Private Equity,"1,56,00,000"
12-08-16,Cuberoot,Technology,Gurgaon,Undisclosed Investors,Seed Funding,"5,00,000"
16-08-16,OyoRooms,Consumer Internet,New Delhi,SoftBank Group,Private Equity,"6,20,00,000"
16-08-16,Hike,Consumer Internet,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"17,50,00,000"
16-08-16,Joolz,eCommerce,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"5,00,000"
16-08-16,SaleBhai,eCommerce,Ahmedabad,Brand Capital,Private Equity,"15,00,000"
16-08-16,Makkajai,Technology,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"2,50,000"
17-08-16,MaalGaadi,Logistics,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"3,75,000"
17-08-16,Appknox,Technology,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"6,75,000"
19-08-16,Quikr,Consumer Internet,Mumbai,Brand Capital,Private Equity,"2,00,00,000"
19-08-16,Digio,Technology,Bangalore,Rainmatter,Private Equity,"3,75,000"
22-08-16,Puro Wellness,healthcare,Mumbai,Torrent Group,Private Equity,"3,70,00,000"
23-08-16,Notesgen,Consumer Internet,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"1,00,000"
23-08-16,Octo.ai,Technology,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"2,00,000"
24-08-16,UnaAcademy,Consumer Internet,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"10,00,000"
24-08-16,Advenio,Technology,Chandigarh,Kalaari Capital,Seed Funding,"1,00,000"
24-08-16,Guarented,eCommerce,Bangalore,Kalaari Capital,Seed Funding,"5,00,000"
24-08-16,Uber Dreams,eCommerce,Mumbai,Mohit Lalvani,Seed Funding,"5,00,000"
24-08-16,Convegenius,Education,Noida,Michael and Susan Dell Foundation,Private Equity,"9,00,000"
24-08-16,UrbanLadder,eCommerce,Mumbai,Trifecta Capital,Private Equity,"30,00,000"
25-08-16,Cult,Healthcare,Bangalore,CureFit,Private Equity,"30,00,000"
25-08-16,ZoomCar,Consumer Internet,Bangalore,Ford Smart Mobility Llc,Private Equity,"2,40,00,000"
26-08-16,Plix,Consumer Internet,Gurgaon,Instalabs,Seed Funding,"5,00,000"
26-08-16,Mobikwik,Consumer Internet,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,"4,00,00,000"
26-08-16,MyDidi,Consumer Internet,Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"5,50,000"
29-08-16,LoanTap,Consumer Internet,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"30,00,000"
29-08-16,Runnr,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"70,00,000"
29-08-16,Notion Press,Consumer Internet,Chennai,Undisclosed HNI investors,Private Equity,"10,00,000"
29-08-16,LivSpace,Consumer Internet,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"1,50,00,000"
30-08-16,iAugmentor Labs,Technology,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,"1,49,000"
30-08-16,DayBox,Consumer Internet,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"1,04,000"
30-08-16,Paytm,eCommerce,Bangalore,MediaTek Inc.,Private Equity,"6,00,00,000"
30-08-16,CropIn,Technology,Bangalore,Sophia Investment ApS,Private Equity,"20,00,000"
30-08-16,Canvera,Consumer Internet,Bangalore,Info Edge (India) Ltd,Private Equity,"30,00,000"
31-08-16,Flyrobe,eCommerce,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"53,00,000"
01-09-16,Mihup,Technology,Kolkata,Accel Partners,Private Equity,"67,00,000"
06-09-16,eShakti,eCommerce,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"13,50,000"
06-09-16,CheersOye!,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,"5,00,000"
06-09-16,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,"9,00,000"
07-09-16,Zilingo,eCommerce,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"80,00,000"
07-09-16,Alternacare,Consumer Internet,New Delhi,Eros Labs,Seed Funding,"5,00,000"
07-09-16,Simplilearn,Education,Bangalore,InnoVen Capital India,Private Equity,"60,00,000"
07-09-16,Prozo,eCommerce,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"3,15,000"
08-09-16,TopRankers,Education,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"6,70,000"
08-09-16,BuildTraders,eCommerce,Bangalore,Idein Ventures,Seed Funding,"2,00,000"
09-09-16,Byju\\xe2\\x80\\x99s,Education,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"5,00,00,000"
10-09-16,CureInstant,Consumer Internet,New Delhi,Dr. Rameshwar Kumar,Seed Funding,"1,50,000"
10-09-16,Poshtic,Consumer Internet,Noida,"havya Sharma, Amit Nagar",Seed Funding,"4,50,000"
12-09-16,Purple Style Labs,Consumer Internet,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"4,48,000"
12-09-16,Inuxu,Technology,Pune,Fork Media,Private Equity,"30,00,000"
12-09-16,Nykaa,eCommerce,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"1,23,00,000"
12-09-16,Glam Studios,Consumer Internet,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"3,00,000"
13-09-16,NearBuy,Consumer Internet,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,"25,00,000"
14-09-16,Flocareer,Consumer Internet,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"1,50,000"
15-09-16,infeedo,Consumer Internet,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"2,00,000"
15-09-16,Furlenco,eCommerce,Bangalore,Lightbox Ventures and others,Private Equity,"50,00,000"
15-09-16,GoPigeon,Consumer Internet,Bangalore,Nexus Venture Partners,Private Equity,"15,00,000"
16-09-16,NewsDistill,Consumer Internet,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"1,00,000"
16-09-16,DoctorInsta,Consumer Internet,Gurgaon,RoundGlass Partners,Private Equity,"10,00,000"
19-09-16,Milofy,Consumer Internet,Bangalore,Accel Partners,Seed Funding,"7,50,000"
19-09-16,Swiggy,Consumer Internet,Bangalore,Bessemer Venture Partners,Private Equity,"1,50,00,000"
20-09-16,JustLikeNew,eCommerce,Hyderabad,LetsVenture,Seed Funding,"5,00,000"
21-09-16,Co Life,Consumer Internet,Bangalore,Undisclosed Investors,Seed Funding,"10,00,000"
21-09-16,Pepperfry,eCommerce,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"3,13,00,000"
21-09-16,eQuickies,eCommerce,Ahmedabad,Lothal Angel Ventures,Seed Funding,"2,98,000"
21-09-16,Khel Now,Consumer Internet,New Delhi,Anglian Omega Network,Seed Funding,"3,50,000"
22-09-16,Gadgetwood,Consumer Internet,New Delhi,Carpediem Capital,Private Equity,"60,00,000"
22-09-16,Flixy Games,Technology,Bangalore,Rebright Partners,Seed Funding,"4,25,000"
22-09-16,HashTaag,Technology,Bangalore,Undisclosed investors,Seed Funding,"10,00,000"
22-09-16,PharmaRack,Technology,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"7,45,000"
27-09-16,TinyStep,Consumer Internet,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"15,80,000"
28-09-16,Beardo,eCommerce,Ahmedabad,Venture Catalysts,Seed Funding,"5,00,000"
28-09-16,Instacar,Consumer Internet,Indore,Swastika Co Ltd.,Seed Funding,"10,00,000"
28-09-16,Celes Care,Consumer Internet,Hyderabad,Endiya Partners,Seed Funding,"10,00,000"
28-09-16,Druva,Technology,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"5,10,00,000"
29-09-16,Promon,eCommerce,New Delhi,Now Capital,Seed Funding,"1,80,000"
29-09-16,Unocoin,Consumer Internet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"15,00,000"
30-09-16,Zeta,Technology,Mumbai,Bhavin Turakhia,Private Equity,"1,90,00,000"
03-10-16,Mystifly,Consumer Internet,Bangalore,Recruit Holdings,Private Equity,"50,00,000"
03-10-16,Uniphore,Technology,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"20,00,000"
03-10-16,World Art Community,eCommerce,Gurgaon,Viraj Tyagi & Others,Seed Funding,"2,00,000"
04-10-16,Giftxoxo,eCommerce,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,"4,50,000"
04-10-16,India Gifts Portal,eCommerce,Noida,"Naveen Arya, Tarun Joshi",Private Equity,"20,00,000"
04-10-16,Moglix,eCommerce,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"42,00,000"
04-10-16,NetLinx,Consumer Internet,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,"30,00,000"
04-10-16,Remitr,Consumer Internet,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"10,00,000"
